order_id,order_date,category,order_value,city,city_tier,warehouse,payment_method,dispatch_date,delivery_date,delivery_status,is_returned,return_initiated_date,return_reason,refund_completed_date,refund_status,refund_delay_days,sla_breach,order_to_dispatch_days,dispatch_to_delivery_days,total_delivery_days,delivery_to_return_days,order_month,order_month_name,order_day_of_week,price_bucket,return_window,is_metro,is_cod,supply_chain_failure,high_value
ORD338651,2024-11-29,Tops,1850,Mumbai,Metro,WH_Mumbai,COD,2024-12-01,2024-12-04,Delivered,False,,,,,,,2,3.0,5.0,,11,November,Friday,Mid (₹1-2K),,True,True,False,False
ORD373903,2024-11-17,Footwear,1786,Coimbatore,Tier2,WH_Mumbai,COD,2024-11-18,2024-11-24,Delivered,False,,,,,,,1,6.0,7.0,,11,November,Sunday,Mid (₹1-2K),,False,True,False,False
ORD645175,2025-02-17,Bottoms,1606,Mysore,Tier3,WH_Bangalore,COD,2025-02-19,2025-03-02,Delivered,False,,,,,,,2,11.0,13.0,,2,February,Monday,Mid (₹1-2K),,False,True,False,False
ORD753425,2024-12-22,Footwear,1209,Pune,Metro,WH_Bangalore,Prepaid,2024-12-25,2024-12-31,Delivered,False,,,,,,,3,6.0,9.0,,12,December,Sunday,Mid (₹1-2K),,True,False,False,False
ORD831076,2024-12-17,Bottoms,1320,Hyderabad,Metro,WH_Hyderabad,COD,2024-12-19,2024-12-25,Delivered,False,,,,,,,2,6.0,8.0,,12,December,Tuesday,Mid (₹1-2K),,True,True,False,False
ORD736130,2025-03-19,Accessories,1251,Raipur,Tier3,WH_Kolkata,Prepaid,2025-03-21,2025-03-31,Delivered,False,,,,,,,2,10.0,12.0,,3,March,Wednesday,Mid (₹1-2K),,False,False,False,False
ORD934692,2024-11-15,Tops,672,Mysore,Tier3,WH_Bangalore,Prepaid,2024-11-18,2024-11-28,Delivered,False,,,,,,,3,10.0,13.0,,11,November,Friday,Budget (<₹1K),,False,False,False,False
ORD958179,2024-12-02,Accessories,934,Mysore,Tier3,WH_Delhi,COD,2024-12-03,2024-12-09,Delivered,False,,,,,,,1,6.0,7.0,,12,December,Monday,Budget (<₹1K),,False,True,False,False
ORD152657,2025-02-22,Footwear,1196,Lucknow,Tier2,WH_Kolkata,COD,2025-02-23,2025-03-04,Delivered,False,,,,,,,1,9.0,10.0,,2,February,Saturday,Mid (₹1-2K),,False,True,False,False
ORD686075,2025-03-04,Bottoms,2611,Bangalore,Metro,WH_Bangalore,COD,2025-03-07,2025-03-13,Delivered,False,,,,,,,3,6.0,9.0,,3,March,Tuesday,Premium (₹2-3K),,True,True,False,True
ORD674485,2025-01-25,Footwear,2643,Rajkot,Tier3,WH_Kolkata,COD,2025-01-27,2025-02-08,Delivered,False,,,,,,,2,12.0,14.0,,1,January,Saturday,Premium (₹2-3K),,False,True,False,True
ORD668969,2025-01-30,Bottoms,1054,Chennai,Metro,WH_Bangalore,Prepaid,2025-02-01,2025-02-08,Delivered,False,,,,,,,2,7.0,9.0,,1,January,Thursday,Mid (₹1-2K),,True,False,False,False
ORD120480,2025-02-27,Dresses,2952,Chennai,Metro,WH_Bangalore,Prepaid,2025-03-01,2025-03-07,Delivered,False,,,,,,,2,6.0,8.0,,2,February,Thursday,Premium (₹2-3K),,True,False,False,True
ORD976325,2025-01-18,Footwear,2935,Hyderabad,Metro,WH_Hyderabad,Prepaid,2025-01-19,2025-01-24,Delivered,False,,,,,,,1,5.0,6.0,,1,January,Saturday,Premium (₹2-3K),,True,False,False,True
ORD130434,2025-01-10,Bottoms,2455,Nagpur,Tier2,WH_Delhi,Prepaid,2025-01-12,2025-01-20,Delivered,False,,,,,,,2,8.0,10.0,,1,January,Friday,Premium (₹2-3K),,False,False,False,True
ORD513160,2025-03-03,Dresses,3714,Hyderabad,Metro,WH_Hyderabad,Prepaid,2025-03-04,2025-03-08,Delivered,False,,,,,,,1,4.0,5.0,,3,March,Monday,Luxury (>₹3K),,True,False,False,True
ORD290556,2024-10-15,Bottoms,2351,Bangalore,Metro,WH_Bangalore,COD,2024-10-16,2024-10-21,Delivered,False,,,,,,,1,5.0,6.0,,10,October,Tuesday,Premium (₹2-3K),,True,True,False,True
ORD497542,2024-12-13,Footwear,2425,Guwahati,Tier3,WH_Bangalore,Prepaid,2024-12-14,2024-12-25,Delivered,False,,,,,,,1,11.0,12.0,,12,December,Friday,Premium (₹2-3K),,False,False,False,True
ORD466960,2024-11-29,Tops,639,Kochi,Tier2,WH_Mumbai,Prepaid,2024-11-30,2024-12-05,Delivered,False,,,,,,,1,5.0,6.0,,11,November,Friday,Budget (<₹1K),,False,False,False,False
ORD751517,2024-11-11,Bottoms,1316,Delhi,Metro,WH_Delhi,Prepaid,2024-11-14,2024-11-18,Delivered,False,,,,,,,3,4.0,7.0,,11,November,Monday,Mid (₹1-2K),,True,False,False,False
ORD368690,2025-01-05,Accessories,533,Lucknow,Tier2,WH_Delhi,COD,2025-01-07,2025-01-11,Delivered,False,,,,,,,2,4.0,6.0,,1,January,Sunday,Budget (<₹1K),,False,True,False,False
ORD817497,2025-03-05,Footwear,1194,Visakhapatnam,Tier2,WH_Hyderabad,Prepaid,2025-03-06,2025-03-13,Delivered,False,,,,,,,1,7.0,8.0,,3,March,Wednesday,Mid (₹1-2K),,False,False,False,False
ORD172306,2025-02-09,Accessories,997,Kochi,Tier2,WH_Mumbai,Prepaid,2025-02-11,2025-02-15,Delivered,False,,,,,,,2,4.0,6.0,,2,February,Sunday,Budget (<₹1K),,False,False,False,False
ORD479781,2025-03-14,Dresses,2882,Kolkata,Metro,WH_Kolkata,Prepaid,2025-03-16,2025-03-23,Delivered,False,,,,,,,2,7.0,9.0,,3,March,Friday,Premium (₹2-3K),,True,False,False,True
ORD190872,2024-12-13,Tops,998,Chennai,Metro,WH_Bangalore,Prepaid,2024-12-16,2024-12-22,Delivered,False,,,,,,,3,6.0,9.0,,12,December,Friday,Budget (<₹1K),,True,False,False,False
ORD389688,2025-02-22,Tops,1557,Mumbai,Metro,WH_Mumbai,COD,2025-02-23,2025-03-01,Delivered,False,,,,,,,1,6.0,7.0,,2,February,Saturday,Mid (₹1-2K),,True,True,False,False
ORD894993,2024-12-03,Bottoms,2749,Mysore,Tier3,WH_Kolkata,COD,2024-12-05,2024-12-11,Delivered,False,,,,,,,2,6.0,8.0,,12,December,Tuesday,Premium (₹2-3K),,False,True,False,True
ORD524045,2025-03-29,Tops,1126,Delhi,Metro,WH_Delhi,COD,2025-03-31,2025-04-07,Delivered,False,,,,,,,2,7.0,9.0,,3,March,Saturday,Mid (₹1-2K),,True,True,False,False
ORD878967,2025-02-17,Bottoms,1557,Guwahati,Tier3,WH_Delhi,Prepaid,2025-02-18,2025-02-26,Delivered,False,,,,,,,1,8.0,9.0,,2,February,Monday,Mid (₹1-2K),,False,False,False,False
ORD897135,2025-02-14,Accessories,878,Ranchi,Tier3,WH_Mumbai,Prepaid,2025-02-15,2025-02-23,Delivered,False,,,,,,,1,8.0,9.0,,2,February,Friday,Budget (<₹1K),,False,False,False,False
ORD114835,2025-02-16,Tops,1060,Delhi,Metro,WH_Delhi,Prepaid,2025-02-17,2025-02-21,Delivered,False,,,,,,,1,4.0,5.0,,2,February,Sunday,Mid (₹1-2K),,True,False,False,False
ORD889359,2025-02-05,Tops,524,Jaipur,Tier2,WH_Hyderabad,Prepaid,2025-02-07,2025-02-14,Delivered,False,,,,,,,2,7.0,9.0,,2,February,Wednesday,Budget (<₹1K),,False,False,False,False
ORD153872,2024-12-06,Tops,1477,Visakhapatnam,Tier2,WH_Mumbai,Prepaid,2024-12-07,2024-12-11,Delivered,False,,,,,,,1,4.0,5.0,,12,December,Friday,Mid (₹1-2K),,False,False,False,False
ORD725084,2025-03-10,Footwear,2839,Lucknow,Tier2,WH_Kolkata,COD,2025-03-12,2025-03-18,Delivered,False,,,,,,,2,6.0,8.0,,3,March,Monday,Premium (₹2-3K),,False,True,False,True
ORD549660,2024-12-20,Tops,1770,Hyderabad,Metro,WH_Hyderabad,COD,2024-12-23,2024-12-26,Delivered,False,,,,,,,3,3.0,6.0,,12,December,Friday,Mid (₹1-2K),,True,True,False,False
ORD822858,2025-03-04,Footwear,1891,Chennai,Metro,WH_Bangalore,COD,2025-03-05,2025-03-10,Delivered,False,,,,,,,1,5.0,6.0,,3,March,Tuesday,Mid (₹1-2K),,True,True,False,False
ORD576086,2024-10-21,Footwear,1655,Pune,Metro,WH_Bangalore,COD,2024-10-24,2024-10-28,Delivered,False,,,,,,,3,4.0,7.0,,10,October,Monday,Mid (₹1-2K),,True,True,False,False
ORD671015,2024-11-29,Bottoms,1409,Kochi,Tier2,WH_Bangalore,Prepaid,2024-11-30,2024-12-05,Delivered,False,,,,,,,1,5.0,6.0,,11,November,Friday,Mid (₹1-2K),,False,False,False,False
ORD723948,2025-02-25,Accessories,1198,Bangalore,Metro,WH_Bangalore,Prepaid,2025-02-27,2025-03-05,Delivered,False,,,,,,,2,6.0,8.0,,2,February,Tuesday,Mid (₹1-2K),,True,False,False,False
ORD804938,2024-12-10,Dresses,1163,Coimbatore,Tier2,WH_Delhi,Prepaid,2024-12-12,2024-12-19,Delivered,False,,,,,,,2,7.0,9.0,,12,December,Tuesday,Mid (₹1-2K),,False,False,False,False
ORD290305,2025-03-01,Accessories,1306,Indore,Tier2,WH_Mumbai,Prepaid,2025-03-03,2025-03-09,Delivered,False,,,,,,,2,6.0,8.0,,3,March,Saturday,Mid (₹1-2K),,False,False,False,False
ORD209680,2024-11-13,Accessories,1142,Raipur,Tier3,WH_Kolkata,COD,2024-11-15,2024-11-24,Delivered,False,,,,,,,2,9.0,11.0,,11,November,Wednesday,Mid (₹1-2K),,False,True,False,False
ORD676818,2024-10-12,Tops,679,Indore,Tier2,WH_Bangalore,Prepaid,2024-10-14,2024-10-21,Delivered,False,,,,,,,2,7.0,9.0,,10,October,Saturday,Budget (<₹1K),,False,False,False,False
ORD964998,2024-10-03,Footwear,2921,Mysore,Tier3,WH_Kolkata,COD,2024-10-05,2024-10-15,Delivered,False,,,,,,,2,10.0,12.0,,10,October,Thursday,Premium (₹2-3K),,False,True,False,True
ORD893188,2025-02-07,Footwear,2509,Mysore,Tier3,WH_Mumbai,COD,2025-02-08,2025-02-15,Delivered,False,,,,,,,1,7.0,8.0,,2,February,Friday,Premium (₹2-3K),,False,True,False,True
ORD559398,2025-03-30,Bottoms,1296,Chennai,Metro,WH_Bangalore,Prepaid,2025-04-02,2025-04-06,Delivered,False,,,,,,,3,4.0,7.0,,3,March,Sunday,Mid (₹1-2K),,True,False,False,False
ORD425845,2025-02-21,Accessories,1430,Mumbai,Metro,WH_Mumbai,Prepaid,2025-02-22,2025-02-25,Delivered,False,,,,,,,1,3.0,4.0,,2,February,Friday,Mid (₹1-2K),,True,False,False,False
ORD595158,2024-12-04,Bottoms,1391,Indore,Tier2,WH_Kolkata,Prepaid,2024-12-05,2024-12-13,Delivered,False,,,,,,,1,8.0,9.0,,12,December,Wednesday,Mid (₹1-2K),,False,False,False,False
ORD708093,2025-03-20,Tops,803,Chennai,Metro,WH_Bangalore,Prepaid,2025-03-23,2025-03-28,Delivered,False,,,,,,,3,5.0,8.0,,3,March,Thursday,Budget (<₹1K),,True,False,False,False
ORD433632,2025-02-01,Bottoms,2360,Pune,Metro,WH_Kolkata,Prepaid,2025-02-04,2025-02-08,Delivered,False,,,,,,,3,4.0,7.0,,2,February,Saturday,Premium (₹2-3K),,True,False,False,True
ORD786587,2024-11-11,Tops,1460,Nashik,Tier3,WH_Bangalore,COD,2024-11-13,2024-11-22,Delivered,False,,,,,,,2,9.0,11.0,,11,November,Monday,Mid (₹1-2K),,False,True,False,False
ORD993140,2024-12-26,Tops,1880,Visakhapatnam,Tier2,WH_Hyderabad,Prepaid,2024-12-28,2025-01-06,Delivered,False,,,,,,,2,9.0,11.0,,12,December,Thursday,Mid (₹1-2K),,False,False,False,False
ORD896290,2025-02-04,Tops,1607,Kolkata,Metro,WH_Kolkata,Prepaid,2025-02-07,2025-02-12,Delivered,False,,,,,,,3,5.0,8.0,,2,February,Tuesday,Mid (₹1-2K),,True,False,False,False
ORD883041,2024-10-26,Accessories,500,Indore,Tier2,WH_Mumbai,Prepaid,2024-10-28,2024-11-03,Delivered,False,,,,,,,2,6.0,8.0,,10,October,Saturday,Budget (<₹1K),,False,False,False,False
ORD148225,2024-12-25,Footwear,928,Guwahati,Tier3,WH_Bangalore,COD,2024-12-27,2025-01-03,Delivered,False,,,,,,,2,7.0,9.0,,12,December,Wednesday,Budget (<₹1K),,False,True,False,False
ORD532067,2025-02-24,Tops,867,Pune,Metro,WH_Delhi,Prepaid,2025-02-25,2025-03-03,Delivered,False,,,,,,,1,6.0,7.0,,2,February,Monday,Budget (<₹1K),,True,False,False,False
ORD587853,2024-12-15,Tops,1618,Pune,Metro,WH_Delhi,Prepaid,2024-12-16,2024-12-21,Delivered,False,,,,,,,1,5.0,6.0,,12,December,Sunday,Mid (₹1-2K),,True,False,False,False
ORD413685,2025-03-15,Tops,1912,Chennai,Metro,WH_Bangalore,COD,2025-03-17,2025-03-21,Delivered,False,,,,,,,2,4.0,6.0,,3,March,Saturday,Mid (₹1-2K),,True,True,False,False
ORD994787,2025-02-03,Tops,984,Mumbai,Metro,WH_Mumbai,Prepaid,2025-02-06,2025-02-11,Delivered,False,,,,,,,3,5.0,8.0,,2,February,Monday,Budget (<₹1K),,True,False,False,False
ORD409571,2024-10-08,Accessories,1109,Kolkata,Metro,WH_Kolkata,Prepaid,2024-10-09,2024-10-12,Delivered,False,,,,,,,1,3.0,4.0,,10,October,Tuesday,Mid (₹1-2K),,True,False,False,False
ORD881369,2025-02-07,Accessories,885,Kolkata,Metro,WH_Kolkata,COD,2025-02-10,2025-02-14,Delivered,False,,,,,,,3,4.0,7.0,,2,February,Friday,Budget (<₹1K),,True,True,False,False
ORD483629,2025-02-15,Tops,1057,Hyderabad,Metro,WH_Hyderabad,Prepaid,2025-02-17,2025-02-23,Delivered,False,,,,,,,2,6.0,8.0,,2,February,Saturday,Mid (₹1-2K),,True,False,False,False
ORD409478,2024-12-28,Dresses,1470,Kolkata,Metro,WH_Kolkata,COD,2024-12-29,2025-01-02,Delivered,False,,,,,,,1,4.0,5.0,,12,December,Saturday,Mid (₹1-2K),,True,True,False,False
ORD859396,2025-03-24,Accessories,1440,Indore,Tier2,WH_Bangalore,COD,2025-03-25,2025-03-29,Delivered,False,,,,,,,1,4.0,5.0,,3,March,Monday,Mid (₹1-2K),,False,True,False,False
ORD749641,2025-02-23,Tops,1748,Bangalore,Metro,WH_Bangalore,COD,2025-02-26,2025-03-04,Delivered,False,,,,,,,3,6.0,9.0,,2,February,Sunday,Mid (₹1-2K),,True,True,False,False
ORD416869,2025-03-18,Footwear,1176,Chennai,Metro,WH_Bangalore,Prepaid,2025-03-19,2025-03-24,Delivered,False,,,,,,,1,5.0,6.0,,3,March,Tuesday,Mid (₹1-2K),,True,False,False,False
ORD221761,2024-10-27,Tops,1599,Delhi,Metro,WH_Delhi,Prepaid,2024-10-29,2024-11-05,Delivered,False,,,,,,,2,7.0,9.0,,10,October,Sunday,Mid (₹1-2K),,True,False,False,False
ORD566297,2024-12-02,Footwear,2184,Visakhapatnam,Tier2,WH_Mumbai,COD,2024-12-05,2024-12-14,Delivered,False,,,,,,,3,9.0,12.0,,12,December,Monday,Premium (₹2-3K),,False,True,False,True
ORD517479,2024-12-12,Accessories,549,Lucknow,Tier2,WH_Kolkata,COD,2024-12-13,2024-12-22,Delivered,False,,,,,,,1,9.0,10.0,,12,December,Thursday,Budget (<₹1K),,False,True,False,False
ORD790909,2025-02-13,Footwear,2575,Bangalore,Metro,WH_Bangalore,COD,2025-02-14,2025-02-20,Delivered,False,,,,,,,1,6.0,7.0,,2,February,Thursday,Premium (₹2-3K),,True,True,False,True
ORD713799,2025-02-20,Bottoms,2130,Pune,Metro,WH_Kolkata,COD,2025-02-23,2025-03-01,Delivered,False,,,,,,,3,6.0,9.0,,2,February,Thursday,Premium (₹2-3K),,True,True,False,True
ORD551096,2024-10-28,Tops,1936,Kolkata,Metro,WH_Kolkata,Prepaid,2024-10-31,2024-11-07,Delivered,False,,,,,,,3,7.0,10.0,,10,October,Monday,Mid (₹1-2K),,True,False,False,False
ORD325468,2025-01-21,Tops,966,Chennai,Metro,WH_Bangalore,COD,2025-01-23,2025-01-29,Delivered,False,,,,,,,2,6.0,8.0,,1,January,Tuesday,Budget (<₹1K),,True,True,False,False
ORD552855,2024-10-27,Dresses,2525,Mysore,Tier3,WH_Delhi,Prepaid,2024-10-30,2024-11-09,Delivered,False,,,,,,,3,10.0,13.0,,10,October,Sunday,Premium (₹2-3K),,False,False,False,True
ORD802559,2024-11-03,Accessories,1023,Chennai,Metro,WH_Bangalore,COD,2024-11-06,2024-11-11,Delivered,False,,,,,,,3,5.0,8.0,,11,November,Sunday,Mid (₹1-2K),,True,True,False,False
ORD468727,2024-10-29,Bottoms,2877,Coimbatore,Tier2,WH_Delhi,Prepaid,2024-10-30,2024-11-04,Delivered,False,,,,,,,1,5.0,6.0,,10,October,Tuesday,Premium (₹2-3K),,False,False,False,True
ORD467121,2025-02-22,Tops,734,Bangalore,Metro,WH_Bangalore,COD,2025-02-25,2025-03-03,Delivered,False,,,,,,,3,6.0,9.0,,2,February,Saturday,Budget (<₹1K),,True,True,False,False
ORD904711,2025-03-11,Footwear,3463,Coimbatore,Tier2,WH_Hyderabad,Prepaid,2025-03-12,2025-03-21,Delivered,False,,,,,,,1,9.0,10.0,,3,March,Tuesday,Luxury (>₹3K),,False,False,False,True
ORD380439,2024-10-10,Footwear,1818,Delhi,Metro,WH_Delhi,Prepaid,2024-10-12,2024-10-16,Delivered,False,,,,,,,2,4.0,6.0,,10,October,Thursday,Mid (₹1-2K),,True,False,False,False
ORD540226,2025-01-27,Bottoms,1443,Bangalore,Metro,WH_Bangalore,COD,2025-01-29,2025-02-05,Delivered,False,,,,,,,2,7.0,9.0,,1,January,Monday,Mid (₹1-2K),,True,True,False,False
ORD155164,2024-11-11,Bottoms,1002,Lucknow,Tier2,WH_Mumbai,COD,2024-11-13,2024-11-20,Delivered,False,,,,,,,2,7.0,9.0,,11,November,Monday,Mid (₹1-2K),,False,True,False,False
ORD904624,2024-11-07,Tops,1022,Kolkata,Metro,WH_Kolkata,Prepaid,2024-11-09,2024-11-15,Delivered,False,,,,,,,2,6.0,8.0,,11,November,Thursday,Mid (₹1-2K),,True,False,False,False
ORD557409,2024-10-07,Tops,658,Chennai,Metro,WH_Bangalore,COD,2024-10-10,2024-10-16,Delivered,False,,,,,,,3,6.0,9.0,,10,October,Monday,Budget (<₹1K),,True,True,False,False
ORD537983,2024-12-16,Accessories,1128,Nashik,Tier3,WH_Mumbai,Prepaid,2024-12-18,2024-12-28,Delivered,False,,,,,,,2,10.0,12.0,,12,December,Monday,Mid (₹1-2K),,False,False,False,False
ORD823108,2025-01-03,Accessories,1193,Mumbai,Metro,WH_Mumbai,COD,2025-01-04,2025-01-10,Delivered,False,,,,,,,1,6.0,7.0,,1,January,Friday,Mid (₹1-2K),,True,True,False,False
ORD514991,2024-12-21,Bottoms,2189,Kochi,Tier2,WH_Delhi,COD,2024-12-23,2024-12-27,Delivered,False,,,,,,,2,4.0,6.0,,12,December,Saturday,Premium (₹2-3K),,False,True,False,True
ORD281926,2025-03-06,Bottoms,1107,Lucknow,Tier2,WH_Delhi,COD,2025-03-09,2025-03-17,Delivered,False,,,,,,,3,8.0,11.0,,3,March,Thursday,Mid (₹1-2K),,False,True,False,False
ORD486649,2024-12-15,Tops,1819,Mumbai,Metro,WH_Mumbai,Prepaid,2024-12-18,2024-12-24,Delivered,False,,,,,,,3,6.0,9.0,,12,December,Sunday,Mid (₹1-2K),,True,False,False,False
ORD950360,2024-12-29,Bottoms,1144,Mysore,Tier3,WH_Hyderabad,COD,2025-01-01,2025-01-08,Delivered,False,,,,,,,3,7.0,10.0,,12,December,Sunday,Mid (₹1-2K),,False,True,False,False
ORD560767,2025-02-14,Tops,1747,Hyderabad,Metro,WH_Hyderabad,COD,2025-02-16,2025-02-21,Delivered,False,,,,,,,2,5.0,7.0,,2,February,Friday,Mid (₹1-2K),,True,True,False,False
ORD912085,2024-12-28,Footwear,3147,Pune,Metro,WH_Mumbai,COD,2024-12-31,2025-01-03,Delivered,False,,,,,,,3,3.0,6.0,,12,December,Saturday,Luxury (>₹3K),,True,True,False,True
ORD685066,2025-03-25,Footwear,1862,Indore,Tier2,WH_Bangalore,COD,2025-03-28,2025-04-05,Delivered,False,,,,,,,3,8.0,11.0,,3,March,Tuesday,Mid (₹1-2K),,False,True,False,False
ORD565776,2025-03-08,Footwear,2537,Nagpur,Tier2,WH_Delhi,COD,2025-03-11,2025-03-18,Delivered,False,,,,,,,3,7.0,10.0,,3,March,Saturday,Premium (₹2-3K),,False,True,False,True
ORD303440,2025-01-05,Tops,1667,Pune,Metro,WH_Kolkata,COD,2025-01-07,2025-01-13,Delivered,False,,,,,,,2,6.0,8.0,,1,January,Sunday,Mid (₹1-2K),,True,True,False,False
ORD538997,2024-11-13,Bottoms,1616,Visakhapatnam,Tier2,WH_Hyderabad,Prepaid,2024-11-14,2024-11-18,Delivered,False,,,,,,,1,4.0,5.0,,11,November,Wednesday,Mid (₹1-2K),,False,False,False,False
ORD504924,2024-10-23,Footwear,1618,Nagpur,Tier2,WH_Mumbai,COD,2024-10-25,2024-11-03,Delivered,False,,,,,,,2,9.0,11.0,,10,October,Wednesday,Mid (₹1-2K),,False,True,False,False
ORD929822,2024-11-09,Accessories,377,Delhi,Metro,WH_Delhi,Prepaid,2024-11-11,2024-11-15,Delivered,False,,,,,,,2,4.0,6.0,,11,November,Saturday,Budget (<₹1K),,True,False,False,False
